Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
0.00480275	4.713470459	-83.76950073	-395.0443726	403.8559178
0.01471475	-8.218078613	-84.78268433	-393.6498718	402.7603034
0.02462575	-2.777282715	-85.5327301	-389.5086975	398.7989301
0.03453775	-2.111404419	-83.35993958	-398.3977051	407.0307961
0.04444975	-7.84413147	-86.30793762	-387.3124695	396.889833
0.05436075	4.933578491	-82.2964325	-395.2415161	403.7485592
0.06427175	-10.32905579	-85.92381287	-392.5375366	401.9643127
0.07418375	-1.130172729	-85.39115906	-391.2495117	400.4611189
0.08409375	-2.974960327	-83.05619812	-396.3387451	404.9587427
0.09400575	-6.142944336	-86.40504456	-388.3027649	397.8474641
0.10391675	3.421264648	-82.59451294	-395.6113892	404.1558237
0.11382775	-10.67599487	-85.73442078	-393.4830933	402.8564415
0.12373875	0.30430603	-85.33024597	-390.9397888	400.1440515
0.13364975	-3.30128479	-82.86276245	-396.8167725	405.3895494
0.14355675	-5.159667969	-86.99945068	-386.9469604	396.640236
0.15347375	2.803359985	-83.35119629	-396.8084412	405.4777672
0.16338575	-11.671875	-85.71011353	-390.8624573	400.3197681
0.17329875	1.113418579	-85.39675903	-392.4451294	401.6304592
0.18321075	-3.344314575	-83.13659668	-396.1429138	404.78647
0.19312075	-5.174789429	-86.32789612	-388.196167	397.7128966
0.20303375	1.907455444	-83.23321533	-397.1364746	405.7693754
0.21294375	-12.01783752	-86.01782227	-391.4545898	400.9740516
0.22285175	3.428756714	-83.3886261	-392.4655762	401.2413835
0.23276875	-4.739456177	-83.71943665	-395.0061646	403.8084652
0.24267675	-3.863479614	-86.19656372	-388.020874	397.4983934
0.25259575	0.567184448	-83.09863281	-396.9640503	405.5689358
0.26250875	-10.22996521	-86.65327454	-390.9115601	400.5312597
0.27241975	3.619995117	-83.6217041	-392.7078857	401.528551
0.28233175	-5.323867798	-83.55256653	-395.2684326	404.0377566
0.29224175	-3.661727905	-86.50048828	-388.0388184	397.5800137
0.30215275	-0.142456055	-82.59803772	-398.3902283	406.8626674
0.31206275	-9.582443237	-86.610672	-389.1661987	398.8026604
0.32197275	4.807418823	-83.7335968	-394.336853	403.1575128
0.33188375	-7.100891113	-84.04774475	-393.5270386	402.4648757
0.34179475	-3.303894043	-86.62062073	-389.4700928	399.000001
0.35170575	-1.20463562	-82.85641479	-397.6470337	406.1893647
0.36161775	-9.445419312	-86.34428406	-389.7962036	399.356522
0.37152875	5.154556274	-83.69873047	-394.4165039	403.2324708
0.38143975	-8.928741455	-84.48039246	-393.971405	403.0262114
0.39135075	-2.639297485	-85.61146545	-389.4382324	398.7460668
0.40126075	-1.906280518	-83.13594055	-398.0638428	406.6571547
0.41116775	-8.263290405	-85.80297852	-388.3920288	397.8426839
0.42108375	3.886932373	-83.4851532	-395.4367371	404.172107
0.43099475	-9.03755188	-85.5112915	-393.6314697	402.913877
0.44090675	-1.999206543	-85.4677124	-389.6807861	398.9484199
0.45081875	-2.379074097	-83.06336975	-397.8860779	406.4708038
0.46072975	-7.420288086	-86.81004333	-387.5834351	397.2555392
0.47064075	3.698822021	-82.16822815	-395.7440186	404.2012212
0.48054875	-10.57588196	-85.95751953	-391.6005249	401.062982
0.49046675	-0.705871582	-85.62088013	-391.2874146	400.5462197
0.50037975	-3.316619873	-83.25369263	-396.2363892	404.9017824
0.51029075	-6.118270874	-87.13546753	-387.6337891	397.3537182
