Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
0.029577708	-6.383810043	9.02929306	-49.05935669	50.29017441
0.039640708	-12.33592033	7.774051666	-51.38525391	53.4139975
0.049703708	-12.32466698	6.87739563	-50.05114746	52.00301288
0.059766708	-11.76626015	8.319122314	-53.67059326	55.5714428
0.069829708	-15.70690918	5.785701752	-48.69186401	51.48862944
0.079892708	-9.035146713	7.64107132	-50.84979248	52.20844034
0.089955708	-16.74873543	6.487190247	-51.45205688	54.49695343
0.100019708	-13.44254684	5.775657654	-49.2638855	51.39057016
0.110082708	-12.36155319	7.609340668	-52.46679688	54.43780706
0.120145708	-15.84519196	5.960948944	-48.49563599	51.36564737
0.130208708	-8.895273209	7.854667664	-50.6519165	52.02344025
0.140271708	-17.28341293	5.475463867	-51.64096069	54.73103223
0.150334708	-12.27780342	6.562976837	-49.66207886	51.57653728
0.160397708	-12.50884247	7.495384216	-52.19033813	54.18932846
0.170461708	-14.83891487	5.855140686	-48.5072937	51.06303564
0.180524708	-9.954305649	8.032611847	-51.09939575	52.67598409
0.190587708	-17.35426712	5.409809113	-51.66098022	54.76580593
0.200650708	-11.51245499	6.578708649	-49.35745239	51.1074763
0.210713708	-12.95302963	7.996940613	-52.65112305	54.80759796
0.220776708	-14.67852783	5.371692657	-48.42959595	50.88948835
0.230838833	-10.62599182	8.111850739	-52.44247437	54.11956155
0.240902833	-17.78554344	5.938156128	-51.00332642	54.34083694
0.250965833	-10.47549629	6.608112335	-50.34838867	51.84943021
0.261028833	-13.1954689	7.588874817	-51.9777832	54.16088411
0.271091833	-14.28470039	5.558296204	-48.36730957	50.73799323
0.281154833	-10.80133438	7.81495285	-52.04977417	53.7300782
0.291217833	-9.54123497	7.684402466	-49.25494385	50.75563712
0.301280833	-13.77335358	7.235534668	-51.22225952	53.53296275
0.311344833	-13.86033058	5.955741882	-48.10861206	50.41843095
0.321407833	-11.07538605	7.600467682	-52.54943848	54.23905207
0.331470833	-16.75787926	5.92193222	-50.27160645	53.32101099
0.341533833	-9.643260956	8.113948822	-49.63363647	51.20865666
0.351596833	-14.26378822	7.171703339	-52.03118896	54.42548675
0.361659833	-13.63172722	5.673179626	-48.4324646	50.63311744
0.371722833	-11.70322609	7.717811584	-52.77166748	54.60200551
0.381786833	-16.23326111	5.282184601	-49.20236206	52.0796762
0.391849833	-9.060247421	8.179546356	-50.14004517	51.60442996
0.401912833	-15.74019051	7.031280518	-50.92306519	53.76198537
0.411975833	-13.35915375	5.639564514	-48.88943481	50.99459298
0.422038833	-11.99696732	8.069541931	-52.70837402	54.65544277
0.432101833	-16.14068985	5.630062103	-49.306427	52.18566098
0.442164833	-9.319440842	7.458087921	-49.62719727	51.04247017
0.452227833	-16.81433296	6.611831665	-51.66201782	54.73026764
0.462291833	-12.86132813	6.155376434	-49.15457153	51.18080033
0.472354833	-12.47652245	7.779151917	-52.3916626	54.41566986
0.482417833	-15.40167999	6.099216461	-48.37548828	51.13316003
0.492480833	-9.389673233	7.743312836	-50.6552124	52.09678877
0.502543833	-16.84897232	6.022342682	-51.57980347	54.59517016
0.512606833	-12.5640316	6.401012421	-49.24597168	51.2249312
0.522670833	-12.6321907	7.667987823	-52.31796265	54.36487372
0.532733833	-15.16900253	6.003490448	-47.74700928	50.45708504
0.542796833	-9.791944504	8.193576813	-50.82623291	52.40537024
0.552859833	-17.72894478	5.348087311	-50.90768433	54.17111633
0.562922833	-11.42960167	6.514465332	-49.80786133	51.51598881
0.572985833	-13.25169945	7.469600677	-51.48547363	53.6857194
0.583048833	-14.32665253	5.478404999	-48.18911743	50.57130543
0.593112833	-10.22706413	8.348461151	-51.18762207	52.86267395
0.603175833	-17.22928429	5.88129425	-51.32992554	54.46282324
0.613238833	-9.888750076	6.569683075	-48.55270386	49.98312881
0.623301833	-12.98762894	7.654109955	-51.74819946	53.89935113
0.633364833	-13.69042397	6.012378693	-48.16717529	50.43464267
0.643427833	-10.4996109	7.943653107	-52.83065796	54.4465047
0.653490833	-17.20389557	6.138687134	-50.68780518	53.87867014
0.663554833	-9.448049545	7.447425842	-49.91937256	51.34854962
0.673617833	-13.33172989	7.290653229	-51.90975952	54.08800033
0.683680833	-13.78238678	6.092834473	-48.3637085	50.65693552
0.693743833	-10.88357735	7.891548157	-52.63400269	54.32372435
0.703806833	-16.88010597	5.729137421	-49.63116455	52.73531538
0.713869833	-8.840299606	8.345470428	-49.07723999	50.56058998
0.723932833	-14.5718441	6.759857178	-51.25735474	53.71546076
0.733996833	-13.467659	5.759086609	-48.609375	50.76826031
0.744059833	-11.88579941	8.14730072	-52.00311279	53.96271376
0.754122833	-16.24855614	5.286930084	-48.94155884	51.83862834
0.764185833	-9.258043289	7.84513092	-49.26638794	50.73888475
0.774248833	-15.54136848	6.602993011	-51.55038452	54.24551406
0.784311833	-13.17528725	5.494342804	-48.55377197	50.60874203
0.794374833	-12.17089272	7.793628693	-52.63070679	54.57895725
0.804438833	-15.55753326	5.405422211	-48.13302612	50.87281823
0.814501833	-8.934951782	7.538276672	-50.55801392	51.89192374
0.824564833	-16.35593033	6.68252182	-51.2381897	54.19893577
0.834627833	-12.68605232	5.932472229	-49.20483398	51.15902499
0.844690833	-12.2182827	7.649528503	-52.06500244	54.02375586
0.854753833	-15.35348701	6.078773499	-48.25302124	51.00034421
0.864816833	-9.053598404	7.791179657	-50.52444458	51.91714192
0.874880833	-17.68403053	5.473442078	-51.39794922	54.62996145
0.884943833	-12.21175385	6.633594513	-49.09170532	51.02084907
0.895006833	-12.82129097	7.607578278	-51.85394287	53.95453772
0.905069833	-14.82626724	5.989997864	-48.59075928	51.15427804
0.915132833	-9.831262589	8.399673462	-51.06723022	52.67893546
0.925195833	-17.16596603	5.771614075	-51.66867065	54.75064791
0.935258833	-13.05003929	8.056941986	-52.16293335	54.37085115
0.945322833	-14.36587524	5.708759308	-48.02432251	50.45100452
0.955385833	-10.50288391	8.026599884	-52.06604004	53.71786855
0.965448833	-17.62177467	5.87783432	-50.52194214	53.82882607
0.975511833	-10.51046181	7.008850098	-50.21426392	51.77901204
0.985574833	-13.26698685	8.096111298	-52.08685303	54.35623438
0.995637833	-13.96999931	6.216815948	-48.66329956	51.0090816
1.005701833	-10.43076706	7.983783722	-52.07281494	53.70400134
1.015764833	-17.33034706	6.159332275	-50.62490845	53.86241416
1.025827833	-9.212251663	7.894428253	-49.36138916	50.83044676
1.035890833	-14.06298256	7.24489975	-51.82458496	54.18527159
1.045953833	-13.80177116	6.267776489	-48.48394775	50.79829819
1.056016833	-10.97619438	7.96181488	-52.2215271	53.95326896
1.066079833	-16.18691635	6.127441406	-49.65859985	52.58838597
1.076142833	-9.182491302	8.100524902	-49.41720581	50.91165761
1.086206833	-14.31410599	7.272258759	-51.74075317	54.17457814
1.096269833	-13.33960342	6.200328827	-48.08810425	50.28772084
1.106332833	-11.60533714	8.351947784	-52.4831543	54.3959591
1.116395833	-16.34091377	5.389995575	-48.84301758	51.78530565
1.126458833	-8.905902863	8.137825012	-49.89373779	51.33151442
1.136521833	-15.80887222	7.081104279	-50.85836792	53.72742378
1.146585833	-13.22879219	5.752086639	-48.76837158	50.85706942
1.156648833	-12.12527466	7.877616882	-51.97946167	53.95316088
1.166711833	-15.9160862	5.397548676	-48.58688354	51.411483
1.176774833	-8.990125656	7.309177399	-49.66552734	50.99912783
1.186837833	-16.89338493	6.338359833	-51.63800049	54.69958276
1.196900833	-12.60032845	6.28440094	-49.49710083	51.46090713
1.206963833	-12.48992729	7.718261719	-52.49438477	54.50899265
1.217027833	-15.28527832	6.046855927	-47.97982788	50.71753231
1.227094917	-9.431669235	7.742404938	-50.48400879	51.93781245
1.237157917	-16.6517849	5.915302277	-51.34997559	54.30554975
1.247220917	-12.34704208	6.394760132	-49.19424438	51.12158141
1.257283917	-12.58426476	7.640193939	-52.2437439	54.27840325
1.267346917	-14.63696289	5.582256317	-47.83544922	50.3352011
1.277409917	-9.465341568	8.246204376	-50.83978271	52.36674598
1.287473917	-17.57594299	5.456661224	-51.00534058	54.22392176
1.297536917	-11.43667412	6.404026031	-49.60739136	51.30986593
1.307599917	-12.99482918	7.639057159	-51.08477783	53.26232539
1.317662917	-14.16651154	5.451957703	-47.4463501	49.81535937
1.327725917	-10.18291473	8.098423004	-51.00854492	52.6416932
1.337788917	-17.50462914	5.734329224	-51.11560059	54.33322369
1.347851917	-9.908725739	6.735618591	-48.68496704	50.1375849
1.357915917	-13.08846855	7.530620575	-51.58007813	53.74497851
1.367978917	-13.52034378	5.817409515	-48.07424927	50.2769867
1.378041917	-10.57356262	7.716487885	-52.33224487	53.94449245
1.388104917	-17.1314373	6.1704216	-49.90734863	53.1253583
1.398167917	-9.429676056	7.443531036	-48.85232544	50.30779905
1.408230917	-13.35836411	7.574245453	-51.28469849	53.53443177
1.418293917	-13.59046745	5.921871185	-47.99523926	50.23258261
1.428357917	-10.93338966	7.876392365	-52.03482056	53.75127084
1.438420917	-16.81720543	5.54454422	-49.34115601	52.4224193
1.448483917	-9.024868011	8.354969025	-49.29672241	50.8076824
1.458546917	-14.63560677	6.963687897	-51.12884521	53.63630065
1.468609917	-13.39005089	6.041904449	-48.26034546	50.44659568
1.478672917	-11.69003868	8.037036896	-51.93713379	53.83973284
1.488735917	-15.78443146	5.719554901	-49.40014648	52.17505206
1.498799917	-8.834884644	8.337306976	-49.19009399	50.66785195
1.508862917	-15.98812675	7.165050507	-52.00592041	54.87780884
1.518925917	-13.03533363	5.99822998	-48.83251953	50.89708881
1.528988917	-12.06569672	7.949428558	-52.79577637	54.7372675
1.539051917	-15.65358543	6.106395721	-48.07293701	50.92474918
1.549114917	-8.973096848	7.573963165	-50.5010376	51.84820328
1.559178917	-16.6754055	6.737968445	-51.28811646	54.35016336
1.569241917	-13.08850861	6.380550385	-49.2192688	51.32793491
1.579304917	-12.35453796	7.934703827	-52.78433228	54.78850123
